clientid;hitdatetime;action
615020;2021-06-17 01:23:31;visit
615020;2021-06-23 20:39:00;visit
615020;2021-06-26 06:55:31;visit
615020;2021-06-30 07:37:48;visit
615020;2021-07-02 09:21:58;visit
615020;2021-07-06 18:26:18;visit
615020;2021-07-13 09:44:15;visit
615020;2021-07-20 04:08:10;visit
615020;2021-07-24 01:44:28;visit
615020;2021-07-31 00:14:20;visit
615020;2021-08-04 06:02:13;visit
615020;2021-08-06 02:16:40;visit
615020;2021-08-06 23:39:42;visit
615020;2021-08-09 10:05:59;visit
615020;2021-08-12 05:10:50;visit
615020;2021-06-18 11:14:51;registration
615020;2021-06-20 05:29:56;login
615020;2021-06-24 23:52:45;login
488878;2021-09-04 10:46:37;visit
488878;2021-09-06 20:58:52;visit
488878;2021-09-13 14:55:53;visit
488878;2021-09-15 15:54:58;visit
488878;2021-09-18 03:24:16;visit
488878;2021-09-19 05:41:40;visit
488878;2021-09-25 15:58:25;visit
488878;2021-09-28 01:48:18;visit
488878;2021-10-03 17:09:03;visit
488878;2021-10-05 20:08:20;visit
488878;2021-10-06 18:23:17;visit
488878;2021-10-08 09:59:08;visit
488878;2021-10-08 21:47:59;visit
488878;2021-10-10 02:38:28;visit
488878;2021-10-14 23:41:30;visit
488878;2021-10-21 16:16:08;visit
488878;2021-10-27 16:05:10;visit
488878;2021-10-29 01:54:40;visit
488878;2021-10-29 12:09:30;visit
488878;2021-11-01 12:55:51;visit
488878;2021-11-05 18:27:21;visit
488878;2021-11-12 12:24:06;visit
488878;2021-11-17 13:55:59;visit
488878;2021-11-20 03:29:02;visit
488878;2021-11-21 04:50:34;visit
930950;2021-09-28 10:33:10;visit
930950;2021-09-28 14:51:47;visit
930950;2021-10-05 09:31:23;visit
930950;2021-10-06 14:57:46;visit
930950;2021-10-11 06:48:12;visit
930950;2021-10-16 17:48:59;visit
930950;2021-10-19 20:49:47;visit
930950;2021-10-24 10:56:51;visit
930950;2021-10-29 03:06:34;visit
930950;2021-11-02 01:43:16;visit
930950;2021-11-04 21:41:01;visit
930950;2021-11-10 14:02:57;visit
930950;2021-11-14 07:53:21;visit
930950;2021-11-16 02:12:25;visit
930950;2021-11-18 10:00:05;visit
930950;2021-11-20 13:15:46;visit
930950;2021-11-26 11:26:49;visit
930950;2021-12-01 06:54:15;visit
