clientid;hitdatetime;action
615020;2020-06-26 01:23:31;visit
615020;2020-07-02 20:39:00;visit
615020;2020-07-05 06:55:31;visit
615020;2020-07-09 07:37:48;visit
615020;2020-07-11 09:21:58;visit
615020;2020-07-15 18:26:18;visit
615020;2020-07-22 09:44:15;visit
615020;2020-07-29 04:08:10;visit
615020;2020-08-02 01:44:28;visit
615020;2020-08-09 00:14:20;visit
615020;2020-08-13 06:02:13;visit
615020;2020-08-15 02:16:40;visit
615020;2020-08-15 23:39:42;visit
615020;2020-08-18 10:05:59;visit
615020;2020-08-21 05:10:50;visit
615020;2020-06-27 11:14:51;registration
615020;2020-06-29 05:29:56;login
615020;2020-07-03 23:52:45;login
488878;2020-09-13 10:46:37;visit
488878;2020-09-15 20:58:52;visit
488878;2020-09-22 14:55:53;visit
488878;2020-09-24 15:54:58;visit
488878;2020-09-27 03:24:16;visit
488878;2020-09-28 05:41:40;visit
488878;2020-10-04 15:58:25;visit
488878;2020-10-07 01:48:18;visit
488878;2020-10-12 17:09:03;visit
488878;2020-10-14 20:08:20;visit
488878;2020-10-15 18:23:17;visit
488878;2020-10-17 09:59:08;visit
488878;2020-10-17 21:47:59;visit
488878;2020-10-19 02:38:28;visit
488878;2020-10-23 23:41:30;visit
488878;2020-10-30 16:16:08;visit
488878;2020-11-05 16:05:10;visit
488878;2020-11-07 01:54:40;visit
488878;2020-11-07 12:09:30;visit
488878;2020-11-10 12:55:51;visit
488878;2020-11-14 18:27:21;visit
488878;2020-11-21 12:24:06;visit
488878;2020-11-26 13:55:59;visit
488878;2020-11-29 03:29:02;visit
488878;2020-11-30 04:50:34;visit
930950;2020-10-07 10:33:10;visit
930950;2020-10-07 14:51:47;visit
930950;2020-10-14 09:31:23;visit
930950;2020-10-15 14:57:46;visit
930950;2020-10-20 06:48:12;visit
930950;2020-10-25 17:48:59;visit
930950;2020-10-28 20:49:47;visit
930950;2020-11-02 10:56:51;visit
930950;2020-11-07 03:06:34;visit
